,總指數,一.食物類,二.衣著類,三.居住類,四.交通及通訊類,五.醫藥保健類,六.教養娛樂類,七.雜項類
2006-M1,84.94,69.01,86.03,91.12,96.68,83.06,97.15,82.65
2006-M2,84.09,68.2,81.76,91.12,97.35,83.16,97.24,77.46
2006-M3,83.86,67.46,80.4,91.16,97.37,83.22,96.88,78.56
2006-M4,84.96,68.64,94.4,91.17,97.77,83.44,96.84,79.48
2006-M5,85.73,70.21,93.29,91.25,99.07,83.46,96.84,80.95
2006-M6,86.13,71.55,90.2,91.88,99.08,83.55,97.04,79.41
2006-M7,86.32,72.09,86.27,92.23,100.1,83.51,97.2,78.81
2006-M8,85.8,70.96,82.24,92.42,100.34,83.48,97.24,78.25
2006-M9,85.33,69.93,80.46,92.63,99.71,83.55,96.83,78.51
2006-M10,85.31,69.36,91.16,91.92,98.74,83.88,96.86,78.65
2006-M11,85.24,68.84,95.16,91.92,98.36,83.89,96.83,78.39
2006-M12,85.42,69.25,92.42,92.05,99.26,83.96,96.84,78.54
2007-M1,85.24,69.46,87.95,92.08,98.22,83.91,96.82,79.01
2007-M2,85.56,68.08,83.91,92.13,98.93,84.04,98.8,85.5
2007-M3,84.56,67.63,80.56,92.09,99.07,84.99,97.14,79.83
2007-M4,85.54,68.21,95.45,92.1,99.67,86.17,97.19,80.43
2007-M5,85.71,68.51,95.15,92.19,99.64,88.07,97.17,80.39
2007-M6,86.24,69.4,92.35,93.13,99.97,87.9,97.49,80.49
2007-M7,86.04,68.81,88.57,93.2,101.17,88.22,98.03,79.64
2007-M8,87.18,72.6,85.15,93.27,101.11,88.46,97.88,79.73
2007-M9,87.99,75.33,83.24,93.33,100.44,88.64,97.49,80.43
2007-M10,89.86,79.43,96.67,92.66,101.66,88.7,97.67,79.96
2007-M11,89.33,77.47,97.79,92.7,102.5,88.55,97.55,79.97
2007-M12,88.26,74.41,96.04,92.78,102.58,88.36,97.66,80.06
2008-M1,87.75,73.09,90.24,92.81,102.64,88.6,98.11,80.17
2008-M2,88.87,74.68,85.3,93.32,103.1,88.66,99.66,84.62
2008-M3,87.91,73.93,83.57,93.11,102.86,88.97,97.62,81.23
2008-M4,88.86,74.83,96.42,93.21,103.6,89.12,98.05,81.56
2008-M5,88.9,74.88,96.99,93.32,103.6,89.17,98.09,81.25
2008-M6,90.53,77.64,93.69,94.75,106.46,89.14,98.69,82.04
2008-M7,91.04,78.17,89.45,95.07,108.12,89.25,100.12,81.8
2008-M8,91.27,80.02,85.34,95.13,106.59,89.49,100.06,81.19
2008-M9,90.72,79.58,83.56,95.23,103.95,89.57,99.29,81.96
2008-M10,92.0,83.83,97.25,94.68,100.91,89.53,99.36,81.25
2008-M11,91.05,82.83,98.12,94.36,96.77,89.67,98.77,81.19
2008-M12,89.38,79.32,93.77,93.76,94.89,89.66,98.42,81.55
2009-M1,89.04,76.96,88.12,93.82,95.93,89.3,99.61,85.19
2009-M2,87.68,75.24,83.74,93.54,95.78,89.51,97.56,82.13
2009-M3,87.78,75.75,81.98,93.51,96.08,89.5,97.3,82.24
2009-M4,88.45,75.95,95.44,93.37,97.35,89.56,97.35,82.26
2009-M5,88.82,77.14,95.43,93.32,98.05,89.44,96.89,82.23
2009-M6,88.73,75.87,92.0,94.33,99.29,90.16,96.61,82.82
2009-M7,88.91,76.11,88.27,94.45,99.27,90.29,97.59,83.4
2009-M8,90.52,81.12,84.74,94.47,99.94,90.14,97.43,84.19
2009-M9,89.91,80.59,82.87,93.51,99.77,89.99,96.53,84.74
2009-M10,90.26,80.02,98.93,93.52,100.11,89.71,96.29,84.43
2009-M11,89.59,77.45,98.69,93.59,101.42,89.69,96.03,84.53
2009-M12,89.16,76.53,95.69,93.53,101.21,89.82,95.87,84.93
2010-M1,89.27,76.8,91.06,93.65,102.52,89.86,96.06,84.55
2010-M2,89.74,76.44,86.52,93.97,101.81,89.82,98.36,89.34
2010-M3,88.89,76.43,84.13,93.76,101.5,90.0,96.13,85.26
2010-M4,89.64,76.95,96.0,93.82,101.79,90.27,96.48,85.91
2010-M5,89.49,76.86,95.99,93.84,101.77,90.22,96.43,84.66
2010-M6,89.8,77.13,93.44,94.84,100.92,90.13,96.4,86.53
2010-M7,90.08,77.78,90.34,94.83,100.79,89.97,98.11,85.92
2010-M8,90.09,78.44,86.83,94.75,100.96,90.1,97.71,85.66
2010-M9,90.18,78.96,85.36,94.86,100.65,90.78,97.32,85.85
2010-M10,90.78,80.21,97.78,93.86,101.39,90.76,97.38,84.72
2010-M11,90.95,80.26,99.8,93.9,101.83,90.83,97.13,85.54
2010-M12,90.26,78.19,96.97,94.1,102.13,91.15,96.99,85.57
2011-M1,90.25,78.35,91.82,94.07,103.05,91.18,97.43,84.88
2011-M2,90.93,78.51,88.33,94.45,103.3,91.32,98.51,90.33
2011-M3,90.13,77.86,86.13,94.3,104.14,91.64,96.92,86.19
2011-M4,90.8,78.38,97.94,94.43,104.2,92.1,97.0,86.5
2011-M5,90.98,79.01,98.86,94.54,103.87,92.17,96.7,86.36
2011-M6,91.54,79.7,96.19,95.67,103.6,92.38,97.26,87.37
2011-M7,91.27,79.07,92.97,95.76,102.47,92.35,98.75,86.62
2011-M8,91.3,79.68,88.71,95.85,102.34,92.47,98.39,86.8
2011-M9,91.42,80.44,86.57,95.91,102.39,92.57,97.65,87.31
2011-M10,91.91,81.03,104.91,94.94,102.18,92.46,97.63,86.5
2011-M11,91.89,81.15,103.3,95.0,102.2,92.57,97.2,86.93
2011-M12,92.09,82.4,100.22,94.98,101.85,92.47,97.14,86.71
2012-M1,92.38,81.9,93.61,95.24,102.06,92.5,98.04,92.03
2012-M2,91.15,80.17,89.79,95.14,102.13,92.29,97.11,87.66
2012-M3,91.27,80.27,87.88,95.33,102.33,92.44,97.54,87.64
2012-M4,92.11,80.03,103.52,95.31,104.33,92.7,97.9,88.56
2012-M5,92.57,81.98,101.39,95.32,103.37,92.61,98.18,88.29
2012-M6,93.16,83.22,98.18,96.7,102.22,92.88,98.46,88.93
2012-M7,93.52,84.05,94.21,96.87,102.58,92.82,99.61,88.51
2012-M8,94.43,86.61,91.17,97.07,104.29,92.81,99.3,88.38
